Name,Year,USENIX_ATC,USENIX_FAST,DSN,HPDC,IEEECluster,HPCA,ICS,ISC
Ming Zhao,2018,0,1,0,0,0,0,0,0
Lin Zhong,2020,1,0,0,0,0,1,0,0
Noa Zilberman,2020,1,0,0,0,0,0,0,0
Nadav Amit,2019,1,0,0,0,0,0,0,0
Mahesh Balakrishnan,2019,1,1,0,0,0,0,0,0
Mahesh Balakrishnan,2018,1,1,0,0,0,0,0,0
Andrew Baumann,2019,1,0,0,0,0,0,0,0
Adam Belay,2019,1,0,0,0,0,0,0,0
Edward Bortnikov,2019,1,0,0,0,0,0,0,0
Andre Brinkmann,2019,1,0,0,0,0,0,0,0
Andre Brinkmann,2018,0,1,0,0,1,0,0,0
Andre Brinkmann,2020,0,0,0,0,1,0,0,0
Edouard Bugnion,2019,1,0,0,0,0,0,0,0
Randal Burns,2019,1,0,0,0,0,0,0,0
Randal Burns,2020,0,1,0,0,0,0,0,0
Anton Burtsev,2019,1,0,0,0,0,0,0,0
Anton Burtsev,2018,0,0,0,0,0,0,1,0
Haibo Chen,2019,1,0,0,0,0,0,0,0
Vijay Chidambaram,2019,1,1,0,0,0,0,0,0
Vijay Chidambaram,2018,1,1,0,0,0,0,0,0
Asaf Cidon,2019,1,0,0,0,0,0,0,0
Austin Clements,2019,1,0,0,0,0,0,0,0
David Cock,2019,1,0,0,0,0,0,0,0
Paolo Costa,2019,1,0,0,0,0,0,0,0
Paolo Costa,2018,1,0,0,0,0,0,0,0
John Criswell,2019,1,0,0,0,0,0,0,0
Charlie Curtsinger,2019,1,0,0,0,0,0,0,0
Nathan Dautenhahn,2019,1,0,0,0,0,0,0,0
Eyal de Lara,2019,1,0,0,0,0,0,0,0
Christina Delimitrou,2019,1,0,0,0,0,0,0,0
Angela Demke Brown,2019,1,1,0,0,0,0,0,0
Angela Demke Brown,2020,0,1,0,0,0,0,0,0
Angela Demke Brown,2018,0,1,0,0,0,0,0,0
Fred Douglis,2019,1,0,0,0,0,0,0,0
Eric Eide,2019,1,0,0,0,0,0,0,0
Eric Eide,2018,0,0,1,0,0,0,0,0
Michael Factor,2019,1,0,0,0,0,0,0,0
Pascal Felber,2019,1,0,1,0,0,0,0,0
Pascal Felber,2020,0,0,1,0,0,0,0,0
Pascal Felber,2018,0,0,1,0,0,0,0,0
Christof Fetzer,2019,1,0,0,0,0,0,0,0
Christof Fetzer,2020,0,0,1,0,0,0,0,0
Christof Fetzer,2018,0,0,1,0,0,0,0,0
Ada Gavrilovska,2019,1,0,0,0,0,0,0,0
Ada Gavrilovska,2018,1,0,0,0,0,0,0,0
